rank,word,frequency,doc_freq(共59卷)
1,question,775,59
2,passage,648,59
3,hear,606,44
4,one,520,58
5,answer,514,59
6,people,490,59
7,make,443,58
8,part,419,59
9,base,413,57
10,mark,400,59
11,section,387,59
12,use,369,56
13,minute,352,59
14,direction,348,59
15,choice,342,59
16,say,321,53
17,work,308,53
18,may,308,56
19,letter,303,59
20,write,297,59
21,word,288,58
22,four,282,53
23,sheet,275,59
24,time,273,55
25,take,259,56
26,find,253,58
27,new,249,54
28,give,241,57
29,good,240,54
30,many,237,54
31,human,236,51
32,change,234,52
33,follow,227,58
34,conversation,224,45
35,correspond,219,59
36,way,218,54
37,two,213,56
38,single,212,58
39,record,212,43
40,help,211,53
41,get,210,52
42,world,209,50
43,would,203,48
44,best,202,53
45,line,200,59
46,student,199,37
47,child,198,38
48,year,197,51
49,study,190,52
50,learn,190,48
51,like,189,50
52,allow,188,59
53,choose,188,59
54,centre,182,56
55,read,177,52
56,even,176,51
57,social,176,45
58,also,168,50
59,three,163,48
60,life,160,52
61,must,159,49
62,become,159,51
63,think,154,48
64,long,152,57
65,bank,152,49
66,need,150,50
67,food,148,40
68,could,146,45
69,university,140,34
70,live,139,49
71,research,138,43
72,much,137,49
73,end,136,53
74,high,136,40
75,feel,134,50
76,problem,134,44
77,school,132,30
78,country,132,35
79,different,132,48
80,come,131,50
81,paragraph,129,33
82,technology,128,37
83,job,126,39
84,develop,124,44
85,show,122,50
86,parent,122,28
87,require,120,55
88,great,119,50
89,company,118,40
90,data,117,30
91,author,117,44
92,increase,117,47
93,often,116,48
94,experience,116,45
95,information,115,41
96,government,113,29
97,speak,109,51
98,science,109,27
99,identify,109,50
100,essay,108,56
101,without,108,43
102,thing,107,45
103,comprehension,106,59
104,might,106,34
105,state,105,37
106,product,104,27
107,try,104,47
108,begin,104,44
109,see,104,45
110,example,103,43
111,woman,103,23
112,benefit,102,46
113,know,102,41
114,health,102,34
115,place,101,44
116,statement,100,44
117,likely,97,42
118,understand,96,43
119,american,96,37
120,others,96,39
121,mean,96,39
122,college,96,27
123,public,94,30
124,employee,93,20
125,provide,93,43
126,blank,93,47
127,keep,92,43
128,least,91,58
129,business,91,36
130,first,91,40
131,pay,90,35
132,well,89,45
133,around,89,45
134,want,88,37
135,start,87,41
136,family,87,38
137,create,86,41
138,whether,86,33
139,behavior,86,26
140,large,85,38
141,cost,85,35
142,animal,85,24
143,share,85,30
144,education,84,30
145,play,83,44
146,ten,83,50
147,cause,83,43
148,climate,82,25
149,impact,81,41
150,lead,81,47
151,scientist,81,31
152,interest,80,41
153,environment,80,40
154,skill,80,30
155,day,80,35
156,hard,79,37
157,ability,79,39
158,researcher,79,31
159,improve,79,36
160,look,78,40
161,number,78,44
162,listen,77,56
163,include,77,39
164,robot,77,11
165,important,77,45
166,focus,77,40
167,grow,76,39
168,idea,76,35
169,build,76,34
170,english,76,58
171,worker,74,29
172,city,74,20
173,space,74,17
174,young,73,30
175,accord,73,41
176,future,73,37
177,area,73,32
178,teacher,73,12
179,set,72,41
180,brain,72,23
181,economic,71,18
182,another,71,40
183,energy,71,20
184,group,71,31
185,report,71,36
186,level,71,32
187,chinese,71,59
188,believe,70,37
189,effect,69,38
190,turn,69,34
191,plan,69,28
192,system,68,30
193,risk,68,31
194,reduce,68,33
195,still,68,36
196,talk,67,46
197,goal,67,29
198,issue,67,33
199,medium,67,25
200,teach,67,30
201,relationship,66,28
202,late,66,35
203,something,66,31
204,attention,66,30
205,however,65,34
206,call,65,38
207,academic,65,25
208,spend,64,28
209,low,64,31
210,carefully,64,52
211,recent,64,36
212,result,64,33
213,language,64,21
214,market,63,30
215,view,63,36
216,offer,63,35
217,meet,63,34
218,early,63,31
